title,addr,url,size,price
泺口精装一室白菜价出租家具齐全, 天桥  无影山北路租房,http://jn.ganji.com//fang1/2861929799x.htm,28㎡,600
北园银座家居附近带空调朝南便宜单间正规卧室可押一付一, 天桥  北园租房 西侯家场小区,http://jn.ganji.com//fang3/2874411870x.htm,16㎡,550
(出租)洪楼广场男生公寓, 历城  洪家楼租房 洪楼广场单位宿舍,http://jn.ganji.com//fang3/2773881917x.htm,100㎡,260
600元，押一付一，可短租，泉城广场东山师东路单间，随时看房, 历下  历山路租房 万豪国际,http://jn.ganji.com//fang1/2928584161x.htm,20㎡,600
600元，押一付一，花园式小区，泉城广场山师东路单间随时看房, 历下  文化东路租房 万豪君悦府,http://jn.ganji.com//fang1/2928582472x.htm,20㎡,600
白菜价1室1厅1卫 免费停车、, 天桥  泺口租房 济南七巧公寓,http://jn.ganji.com//fang1/2770955340x.htm,26㎡,500
(出租)洪家楼大学生公寓260/月, 历城  洪家楼租房 洪楼广场单位宿舍,http://jn.ganji.com//fang3/2773882550x.htm,100㎡,260
(出租)洪楼广场女生公寓260元/月, 历城  洪家楼租房 洪楼广场单位宿舍,http://jn.ganji.com//fang3/2682893613x.htm,20㎡,260
堤口路铁路宿舍紧靠博文小学一楼2室1廊1厨1卫床衣橱沙发整租, 天桥  堤口路租房 堤口路铁路宿舍,http://jn.ganji.com//fang1/2900801584x.htm,55㎡,500
未来城精装小卧室出租 无紧邻万达 小鸭集团软件园, 高新  国际会展中心租房 未来城,http://jn.ganji.com//fang3/2891981395x.htm,15㎡,400
个人房源，无，政法学院对面, 历下  浆水泉路租房 福泉大厦,http://jn.ganji.com//fang3/2923789421x.htm,20㎡,500
化纤厂路华能路花园路花园小镇保利华庭精装修单间家具齐全, 历城  洪家楼租房 保利华庭,http://jn.ganji.com//fang3/2903064100x.htm,15㎡,400
二环东路 环联小商品城 精装公寓 押一付一 免物业费, 历城  花园路租房 环东佳苑,http://jn.ganji.com//fang1/2897976664x.htm,30㎡,600
月付 短租 聚鑫旺园 次卧带空调 便宜出租 随时看房, 高新  国际会展中心租房 聚鑫旺园,http://jn.ganji.com//fang3/2973081497x.htm,20㎡,600
市中-其他 五里牌坊, 市中  其他租房,http://jn.ganji.com//fang1/2861767005x.htm,30㎡,600
经十路 不租高价只为省心 380包物业网 精致装修 欢迎看房, 高新  其他租房 草山岭东区,http://jn.ganji.com//fang3/2931593542x.htm,17㎡,380
金牛银座北公寓房 1楼 1室空调家具500元, 天桥  无影山中路租房 黄岗小区,http://jn.ganji.com//fang1/2836900461x.htm,20㎡,500
"(单间出租)重汽附近,奥林逸城,实墙小间出租 精装修 配套齐", 高新  舜华路租房 鲁邦奥林逸城,http://jn.ganji.com//fang3/2923464342x.htm,13㎡,350
齐鲁软件园旁中铁汇苑 南通透出行方便 精装修 采光好 无遮挡, 高新  国际会展中心租房 中铁汇苑,http://jn.ganji.com//fang3/2923432776x.htm,17㎡,500
